vote_trump,census_region,state,age,weight_2020,hispan,sex,race,income,education_category,stateicp
0,3,FL,30,2.104415054577068,0,1,2,2,3,Florida
1,3,TX,26,0.437940467789769,1,0,1,3,3,Texas
0,3,OK,24,0.974989495912554,0,0,1,2,3,Oklahoma
1,1,PA,33,1.1587532583082272,0,0,1,2,1,Pennsylvania
0,3,GA,28,0.2239878668170168,0,0,2,1,2,Georgia
1,3,FL,42,1.1766683826801412,0,0,1,2,2,Florida
0,3,MS,32,0.8927318471402527,0,0,1,3,3,Mississippi
0,3,KY,38,0.11102276547150798,0,1,5,1,3,Kentucky
0,2,MI,32,0.20038547207892562,0,1,1,2,3,Michigan
1,3,TX,37,1.8172109064829896,0,1,1,3,1,Texas
0,2,MI,20,0.19420011925273548,0,0,1,1,1,Michigan
1,4,CA,65,3.152450891958731,0,0,1,4,3,California
1,1,PA,58,0.19981932001704714,0,1,1,1,2,Pennsylvania
0,1,MA,70,2.1407334660295816,0,1,1,3,3,Massachusetts
0,4,CA,61,0.5194063336709487,0,1,1,2,2,California
0,3,MD,22,0.29204050649384317,0,1,1,1,1,Maryland
0,3,TX,42,5.000003052386292,1,0,5,2,2,Texas
1,1,PA,60,0.5649381449469898,0,0,1,1,3,Pennsylvania
0,3,NC,24,0.9117871165739343,0,1,1,2,1,North Carolina
0,4,NM,57,0.4028571759475849,0,1,1,2,3,New Mexico
0,3,SC,44,0.5930094152744454,0,1,2,1,2,South Carolina
1,2,IL,55,0.6754508343799199,0,0,1,2,3,Illinois
0,2,OH,44,0.7800024764662142,0,1,1,2,2,Ohio
0,4,CO,52,0.22686587530581664,0,0,1,2,3,Colorado
0,2,MO,47,0.28946938068027683,0,0,1,2,3,Missouri
0,1,ME,39,1.423295804108411,0,1,4,1,2,Maine
0,1,NY,23,0.09527757818105595,0,1,2,1,1,New York
0,1,NJ,18,4.559670780176665,0,1,5,4,2,New Jersey
1,1,NJ,25,0.7970936430941237,0,1,1,1,2,New Jersey
0,2,MO,41,0.33695298470337004,0,1,1,2,3,Missouri
0,4,AZ,37,0.16911936144722553,0,1,1,1,2,Arizona
0,3,GA,20,0.6912127853069564,0,1,1,2,3,Georgia
0,3,AR,41,0.5378758533015746,0,1,1,2,3,Arkansas
0,3,FL,71,0.637846556982981,0,0,1,2,3,Florida
0,2,OH,48,0.40929423240191876,0,1,1,1,2,Ohio
0,2,MO,77,0.6696537289803974,0,0,1,2,3,Missouri
0,2,IL,24,0.7191461512029299,0,1,1,2,3,Illinois
0,2,WI,76,1.1274116299827488,0,1,1,2,2,Wisconsin
0,3,FL,21,0.09087488822329345,0,1,2,1,2,Florida
0,3,FL,60,0.3927186092259788,0,1,1,1,2,Florida
1,3,TX,25,3.2797686298747277,0,0,1,2,2,Texas
0,3,FL,68,0.5081686958522493,0,0,1,1,2,Florida
0,3,VA,55,1.0674809142964738,0,1,1,2,2,Virginia
0,4,CA,24,0.16615312469941285,0,1,4,1,3,California
1,2,MN,71,1.2465495510648061,0,1,1,1,2,Minnesota
1,4,OR,38,1.1090785893943766,0,1,1,2,2,Oregon
1,2,MN,50,1.736477220399764,0,0,1,2,1,Minnesota
0,3,MD,47,0.10035645659447372,1,1,5,2,1,Maryland
0,1,PA,35,0.02630319960078568,1,0,5,2,3,Pennsylvania
1,1,NY,74,2.366953001069733,0,1,1,3,3,New York
0,3,GA,53,0.45626794253182024,0,1,2,1,1,Georgia
0,1,MA,23,0.16590704148706184,0,1,1,1,2,Massachusetts
0,3,TX,49,0.10053834978828244,0,1,1,1,1,Texas
0,2,IA,37,0.10249633719948316,1,1,1,2,3,Iowa
0,3,FL,35,0.6221181075845461,0,0,1,2,3,Florida
1,2,MI,67,1.2078720360579351,0,1,1,2,2,Michigan
0,1,PA,67,0.1793182956124964,0,0,1,1,3,Pennsylvania
0,3,AL,59,2.0221343943659384,0,0,2,3,3,Alabama
0,4,NM,35,0.05806768008369021,1,1,5,1,1,New Mexico
1,3,NC,74,0.5523072735362906,0,1,1,1,3,North Carolina
0,3,GA,41,0.47660260143224137,0,1,1,1,2,Georgia
0,2,IN,64,0.266717208658231,0,1,1,1,3,Indiana
0,2,IL,42,0.5812751705121404,0,1,1,2,3,Illinois
